id,gameId,name,publisher,platforms,preorder,price0,edition_prices,edition_names,hasRusVoice,hasRusText,subscriptions,url,releaseDate,genre,pegi,content,isDemo,imageCount
1,PPSA34015,"EA SPORTS FC™ 27 Ultimate Edition PS4 & PS5","EA Swiss Sarl","PS5",Да,3.999,00 TL,"Standard Edition: 3.999,00 TL; Ultimate Edition: 5.499,00 TL; Ultimate Plus Edition: 7.999,00 TL","Standard Edition; Ultimate Edition; Ultimate Plus Edition",Нет,Нет,"EA Access",https://store.playstation.com/en-tr/concept/10017332,2026-09-17,"Sport",PEGI_16,"EA SPORTS FC™ 27 PS4 & PS5; 92+ OVR ICON for FC 26; Career Pre-order Challenges; 3 Icons/Heroes in Manager Career; 5-Star Coach in Manager Career; 5-Star Youth Scout in Manager Career; The Grounds Signature Sweatsuit; Additional The Grounds content; FC 27 85+ ICON; Additional FC 27 Player Evo slot; Up to 7 days Early Access; Season 1 Premium Pass; 6000 FC Points over 3 months; FC 26 immediate content; Career and The Grounds content; Hall of FUT™ Player Pick; Seasons 1 to 5 Premium Passes; 10,000 FC Points over 5 months; FC 26 content and much more",—,13
2,PPSA27360,"EA SPORTS FC™ 26 Standard Edition PS4 & PS5","EA Swiss Sarl","PS4, PS5",Нет,2.899,99 TL,"Standard Edition: 2.899,99 TL; EA SPORTS FC™ 26 SHOWCASE: Free; The World's Game Edition: 4.999,00 TL","Standard Edition; EA SPORTS FC™ 26 SHOWCASE; The World's Game Edition",Нет,Да,"EA Access",https://store.playstation.com/en-tr/concept/10011898,2025-09-25,"Sport",PEGI_3,"EA SPORTS FC™ 26 PS4 & PS5; EA SPORTS FC™ 26 SHOWCASE; 3,000 Season Points; Gold Starting XI Pack; 1 of 5 Elite Campaign Players Pick; 1 of 5 ICON or Hero Players Pick; 1 of 12 International TOTS Players",—,17
3,PPSA34579,"Phantom Blade Zero","S-GAME Publishing","PS5",Да,2.379,00 TL,"Standard Edition: 2.379,00 TL; Digital Deluxe Edition: 2.849,00 TL","Standard Edition; Digital Deluxe Edition",Нет,Нет,"",https://store.playstation.com/en-tr/concept/10017620,2026-10-29,"Action",PEGI_16,"Full Game; Wulin Legend; Blood-Steel Form; Digital Artbook; Digital Soundtrack (OST)",—,17
4,PPSA03073,"eFootball™","KONAMI","PS5",Нет,601,00 TL,"eFootball™: Free; eFootball™: Free; Lamine Yamal Edition 2027: 601,00 TL; Leo Messi Edition 2027: 601,00 TL; Lamine Yamal Edition [DX]: 949,00 TL; Leo Messi Edition [Deluxe]: 949,00 TL","eFootball™; eFootball™; Lamine Yamal Edition 2027; Leo Messi Edition 2027; Lamine Yamal Edition [DX]; Leo Messi Edition [Deluxe]",Нет,Да,"",https://store.playstation.com/en-tr/concept/10002427,2021-09-30,"Sport",PEGI_3,"eFootball™ core game; Epic: Lamine Yamal x1; Highlight player card x7; Stadium Elements x2; Exp. 4,000 Token x11; Free 250 eFootball™ Coins; Epic: Lionel Messi x1; Highlight player card x10; Profile Banner x1; Strip x1; Exp. 4,000 Token x22; Free 450 eFootball™ Coins",—,16
5,PPSA01923,"Fortnite","Epic Games Inc.","PS5",Нет,Free,"Fortnite: Free; Fortnite Battle Royale: Free; Fortnite Save the World: Free; Fortnite OG: Free; LEGO® Fortnite: Odyssey: Free; Fortnite Festival: Free; Rocket Racing: Free; LEGO® Fortnite Brick Life: Free","Fortnite; Fortnite Battle Royale; Fortnite Save the World; Fortnite OG; LEGO® Fortnite: Odyssey; Fortnite Festival; Rocket Racing; LEGO® Fortnite Brick Life",Да,Да,"",https://store.playstation.com/en-tr/concept/228748,2017-07-21,"Action",PEGI_EXC,"Fortnite Battle Royale; LEGO® Fortnite; Rocket Racing; Fortnite Festival; Creator-made Islands; Drop into Chapter 1; Explore the OG map; Collect OG Loot; Relive OG gameplay; Survival crafting adventures; Explore vast, open worlds; Craft items and build shelter; Survive solo or team up; New LEGO® styles for outfits; Includes True Explorers Quest Pack; Play in a band on your stage; Perform solo or with friends; Featured rotation of Jam Tracks; Mix music on the Jam Stage; Supersonic arcade racing; Drift, fly and boost with friends; An ever-growing selection of tracks; Climb the leaderboard in Ranked; Explore the sights; Hang out with friends; Move into your dream home; Take on a job and complete tasks",—,16
6,PPSA01721,"Grand Theft Auto Online (PlayStation®5)","Rockstar Games","PS5",Нет,699,00 TL,"Grand Theft Auto V and Great White Shark Card Bundle: 1.749,00 TL; Grand Theft Auto V (PS4™ & PS5™): Included; Grand Theft Auto Online (PlayStation®5): 699,00 TL","Grand Theft Auto V and Great White Shark Card Bundle; Grand Theft Auto V (PS4™ & PS5™); Grand Theft Auto Online (PlayStation®5)",Нет,Да,"GTA+",https://store.playstation.com/en-tr/concept/201930,2022-03-14,"Adventure",PEGI_18,"GTA Online; GTA$1,500,000 in GTA Online; Grand Theft Auto V: Story Mode; Grand Theft Auto Online (PS5™)",—,10
7,PPSA17221,"Minecraft","MOJANG AB","PS5",Нет,849,00 TL,"Standard Edition: Free; Minecraft Deluxe Collection: 1.299,00 TL; Ultimate Collection: 1.749,00 TL; Standard Edition: Free","Standard Edition; Minecraft Deluxe Collection; Ultimate Collection; Standard Edition",Нет,Да,"",https://store.playstation.com/en-tr/concept/212779,2024-10-22,"Adventure",PEGI_7,"Minecraft PS5; Minecraft for PS5; 3 add-ons; 3 Exclusive Persona Items; 700 Tokens**; 5 add-ons; 5 exclusive Character Creator items; 1000 Tokens*; Minecraft PS4",—,10
8,PPSA26344,"Ghost of Yōtei™ Complete Edition","Sony Interactive Entertainment","PS5",Нет,3.449,00 TL,"","",Да,Да,"",https://store.playstation.com/en-tr/concept/10003923,2026-08-12,"Action",PEGI_18,"Стандартное издание",—,17
9,PPSA22327,"Forza Horizon 5 Standard Edition","Microsoft Corporation","PS5",Нет,1.541,00 TL,"Standard Edition: 1.541,00 TL; Deluxe Edition: 2.055,00 TL; Premium Edition: 2.570,00 TL","Standard Edition; Deluxe Edition; Premium Edition",Нет,Да,"",https://store.playstation.com/en-tr/concept/10010647,2025-04-28,"Driving/Racing",PEGI_3,"Forza Horizon 5 Full Game; Forza Horizon 5 Car Pass; Forza Horizon 5: Hot Wheels; Forza Horizon 5 Rally Adventure; Forza Horizon 5 Welcome Pack; Forza Horizon 5 VIP Membership",—,16
10,PPSA03671,"Marvel’s Wolverine","Sony Interactive Entertainment","PS5",Да,3.449,00 TL,"Standard Edition: 3.449,00 TL; Digital Deluxe Edition: 3.849,00 TL; Digital Deluxe Upgrade: 400,00 TL","Standard Edition; Digital Deluxe Edition; Digital Deluxe Upgrade",Нет,Нет,"",https://store.playstation.com/en-tr/concept/10002861,2026-09-14,"Action",PEGI_18,"Marvel’s Wolverine; Five exclusive suits; Five exclusive claws; Four Technique Points; Classic Brown Suit early unlock; Reflective Claws early unlock; Four PlayStation® Avatars",—,8
