"№","Название","Скидка/Список","ID игры","Платформа","Предзаказ","Обычная цена","Скидка %","Новая цена","Дата окончания","Цены изданий","Рус. озвучка","Рус. текст","Подписки","Ссылка","Дата релиза","Жанр","PEGI"
"ghost_1789790691080_wsqpv","Silver Chains","56г","—","—","Нет","879,00 TL","90%","87,90 TL","2026-09-30","","Нет","Нет","","#","—","—","—"
"ghost_1789790691528_z1fvu","The Final Station","56г","—","—","Нет","525,00 TL","75%","131,25 TL","2026-09-30","","Нет","Нет","","#","—","—","—"
"ghost_1789790691872_b6apn","Woodturning 3D","56г","—","—","Нет","215,00 TL","50%","107,50 TL","2026-09-30","","Нет","Нет","","#","—","—","—"
"ghost_1789790692510_1xwv8","R-TYPE DX: Music Encore","56г","—","—","Нет","649,00 TL","20%","519,20 TL","2026-09-30","","Нет","Нет","","#","—","—","—"
"ghost_1789790692839_q3ckr","XEL","56г","—","—","Нет","665,00 TL","90%","66,50 TL","2026-09-30","","Нет","Нет","","#","—","—","—"
"ghost_1789790693187_y2s4s","XEL","56г","—","—","Нет","665,00 TL","90%","66,50 TL","2026-09-30","","Нет","Нет","","#","—","—","—"
"ghost_1789790693535_pooxp","Vambrace: Dungeon Monarch","56г","—","—","Нет","649,00 TL","90%","64,90 TL","2026-09-30","","Нет","Нет","","#","—","—","—"
"ghost_1789790693864_df2gj","STRIDER","56г","—","—","Нет","525,00 TL","65%","183,75 TL","2026-09-30","","Нет","Нет","","#","—","—","—"
"ghost_1789790694553_kl2pv","The Green Light","56г","—","—","Нет","215,00 TL","20%","172,00 TL","2026-09-30","","Нет","Нет","","#","—","—","—"
"ghost_1789790695596_2xq84","WolfFang SkullFang Saturn Tribute Boosted","56г","—","—","Нет","849,00 TL","50%","424,50 TL","2026-09-30","","Нет","Нет","","#","—","—","—"
"ghost_1789790696296_f6v1o","THE","56г","—","—","Нет","349,00 TL","60%","139,60 TL","2026-09-30","","Нет","Нет","","#","—","—","—"
