"№","Название","Скидка/Список","ID игры","Платформа","Предзаказ","Обычная цена","Скидка %","Новая цена","Дата окончания","Цены изданий","Рус. озвучка","Рус. текст","Подписки","Ссылка","Дата релиза","Жанр","PEGI"
"ghost_1789626984683_9rtxv","Shadow Labyrinth","TOKYO GAME SHOW","—","—","Нет","1.049,00 TL","50%","524,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789626985033_uqx3w","SOULVARS","TOKYO GAME SHOW","—","—","Нет","595,00 TL","90%","59,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789626985681_lfm01","The Heavy Rain & BEYOND: Two","TOKYO GAME SHOW","—","—","Нет","1.749,00 TL","60%","699,60 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789626986025_7wj2s","Ys X: Proud Nordics","TOKYO GAME SHOW","—","—","Нет","2.999,00 TL","10%","2.699,10 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789626986436_b0tyi","Slay the Princess - The Pristine Cut","TOKYO GAME SHOW","—","—","Нет","649,00 TL","40%","389,40 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789626986792_hhqsn","Slay the Princess - The Pristine Cut","TOKYO GAME SHOW","—","—","Нет","774,00 TL","40%","464,40 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789626987589_xvrpy","Pode","TOKYO GAME SHOW","—","—","Нет","1.031,00 TL","50%","515,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789626988129_pj48z","ODDBALLERS","TOKYO GAME SHOW","—","—","Нет","699,00 TL","75%","174,75 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789626988481_r73cp","Robots at Midnight","TOKYO GAME SHOW","—","—","Нет","849,00 TL","50%","424,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789626989074_ky4y2","Silver Chains","TOKYO GAME SHOW","—","—","Нет","879,00 TL","90%","87,90 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789626989776_3c3lz","Woodturning 3D","TOKYO GAME SHOW","—","—","Нет","215,00 TL","50%","107,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789626990446_xakij","R-TYPE DX: Music Encore","TOKYO GAME SHOW","—","—","Нет","649,00 TL","20%","519,20 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789626990793_xspaz","XEL","TOKYO GAME SHOW","—","—","Нет","665,00 TL","90%","66,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789626991149_chx17","XEL","TOKYO GAME SHOW","—","—","Нет","665,00 TL","90%","66,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789626991496_rop1y","Vambrace: Dungeon Monarch","TOKYO GAME SHOW","—","—","Нет","649,00 TL","90%","64,90 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
