"№","Название","ID игры","Платформа","Предзаказ","Обычная цена","Цены изданий","Рус. озвучка","Рус. текст","Подписки","Ссылка","Дата релиза","Жанр","PEGI"
"4295","Arcade Archives 2 MOON SHUTTLE","PPSA33352","PS5","Нет","387,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10016980","2026-06-24","Shooter","PEGI_3"
"4296","Arcade Archives 2 MOUSER","PPSA37589","PS5","Нет","387,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10019475","2026-07-22","Action","PEGI_3"
"4297","Arcade Archives 2 KONAMI GT","PPSA35466","PS5","Нет","387,00 TL","Arcade Archives 2 KONAMI GT: 387,00 TL; Arcade Archives KONAMI GT: 300,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10018241","2026-04-15","Driving/Racing","PEGI_3"
"4298","Arcade Archives 2 PINBALL ACTION","PPSA38277","PS5","Нет","387,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10019871","2026-08-12","Action","PEGI_3"
"4299","Arcade Archives 2 Rave Racer","PPSA34621","PS5","Нет","730,00 TL","Arcade Archives 2 Rave Racer: 730,00 TL; Arcade Archives Rave Racer: 649,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10017737","2026-02-25","Driving/Racing","PEGI_3"
"4300","Arcade Archives 2 QUESTER","PPSA34263","PS5","Нет","387,00 TL","Arcade Archives 2 QUESTER: 387,00 TL; Arcade Archives QUESTER: 300,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10017501","2026-01-28","Action","PEGI_3"
"4301","Arcade Archives 2 POLARIS","PPSA35674","PS5","Нет","387,00 TL","Arcade Archives 2 POLARIS: 387,00 TL; Arcade Archives POLARIS: 300,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10018385","2026-04-08","Shooter","PEGI_3"
"4302","Arcade Archives 2 ROC'N ROPE","PPSA33535","PS5","Нет","387,00 TL","Arcade Archives 2 ROC'N ROPE: 387,00 TL; Arcade Archives ROC'N ROPE: 300,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10017050","2025-12-10","Action","PEGI_3"
"4303","Arcade Archives 2 MIDNIGHT LANDING","PPSA33058","PS5","Нет","387,00 TL","Arcade Archives 2 MIDNIGHT LANDING: 387,00 TL; Arcade Archives MIDNIGHT LANDING: 300,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10016818","2025-10-22","Simulation","PEGI_3"
"4304","Arcade Archives 2 MEGA ZONE","PPSA34954","PS5","Нет","387,00 TL","Arcade Archives 2 MEGA ZONE: 387,00 TL; Arcade Archives MEGA ZONE: 300,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10017929","2026-02-11","Shooter","PEGI_3"
"4305","Arcade Archives 2 SCION","PPSA32270","PS5","Нет","387,00 TL","Arcade Archives 2 SCION: 387,00 TL; Arcade Archives SCION: 300,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10016402","2025-10-29","Shooter","PEGI_3"
"4306","Arcade Archives 2 RACK'EM UP","PPSA36708","PS5","Нет","387,00 TL","Arcade Archives 2 RACK'EM UP: 387,00 TL; Arcade Archives RACK'EM UP: 300,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10018981","2026-06-10","Casual","PEGI_3"
"4307","Arcade Archives 2 LABYRINTH RUNNER","PPSA34240","PS5","Нет","387,00 TL","Arcade Archives 2 LABYRINTH RUNNER: 387,00 TL; Arcade Archives LABYRINTH RUNNER: 300,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10017492","2026-01-21","Action","PEGI_3"
"4308","Arcade Archives 2 PLUMP POP","PPSA35151","PS5","Нет","387,00 TL","Arcade Archives 2 PLUMP POP: 387,00 TL; Arcade Archives PLUMP POP: 300,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10018042","2026-03-04","Action","PEGI_3"
"4309","Arcade Archives 2 SCRAMBLED EGG","PPSA30857","PS5","Нет","387,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10015578","2025-08-27","Action","PEGI_3"
"4310","Arcade Archives 2 SPACE INVADERS","PPSA33411","PS5","Нет","387,00 TL","Arcade Archives 2 SPACE INVADERS: 387,00 TL; Arcade Archives SPACE INVADERS: 300,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10016982","2025-12-24","Shooter","PEGI_3"
"4311","Arcade Archives 2 STREET SMART","PPSA35866","PS5","Нет","387,00 TL","Arcade Archives 2 STREET SMART: 387,00 TL; Arcade Archives STREET SMART: 300,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10018488","2026-04-22","Fighting","PEGI_12"
"4312","Arcade Archives 2 SPACE CYCLONE","PPSA36206","PS5","Нет","387,00 TL","Arcade Archives 2 SPACE CYCLONE: 387,00 TL; Arcade Archives SPACE CYCLONE: 300,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10018690","2026-06-17","Shooter","PEGI_3"
"4313","Arcade Archives 2 STEEL WORKER","PPSA31074","PS5","Нет","387,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10015671","2025-09-17","Action","PEGI_3"
"4314","Arcade Archives 2 SYVALION","PPSA33534","PS5","Нет","387,00 TL","Arcade Archives 2 SYVALION: 387,00 TL; Arcade Archives SYVALION: 300,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10017052","2026-07-15","Shooter","PEGI_3"
"4315","Arcade Archives 2 TAG TEAM WRESTLING","PPSA36438","PS5","Нет","387,00 TL","Arcade Archives 2 TAG TEAM WRESTLING: 387,00 TL; Arcade Archives TAG TEAM WRESTLING: 300,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10018822","2026-05-20","Sport","PEGI_12"
"4316","Arcade Archives 2 TEKKEN","PPSA18945","PS5","Нет","730,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10009345","2026-06-24","Fighting","PEGI_12"
"4317","Arcade Archives ASSAULT","CUSA34871","PS4","Нет","300,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10005520","2022-09-28","Shooter","PEGI_7"
"4318","Arcade Archives 2 TOP SPEED","PPSA33095","PS5","Нет","387,00 TL","Arcade Archives 2 TOP SPEED: 387,00 TL; Arcade Archives TOP SPEED: 300,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10016843","2026-02-04","Driving/Racing","PEGI_3"
"4319","Arcade Archives Armed F","CUSA05579","PS4","Нет","300,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/216833","2017-01-30","Arcade","PEGI_7"
"4320","Arcade Archives ARKANOID","CUSA56783","PS4","Нет","300,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10016967","2026-05-06","Action","PEGI_3"
"4321","Arcade Archives 2 Tatakae! Big Fighter","PPSA32856","PS5","Нет","387,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10016710","2026-05-27","Shooter","PEGI_3"
"4322","Arcade Archives ACE DRIVER","CUSA54896","PS4","Нет","649,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10015388","2026-05-27","Driving/Racing","PEGI_3"
"4323","Arcade Archives 2 VIDEO HUSTLER","PPSA31566","PS5","Нет","387,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10015976","2025-09-10","Sport","PEGI_3"
"4324","Arcade Archives 2 THE OUTFOXIES","PPSA33532","PS5","Нет","730,00 TL","Arcade Archives 2 THE OUTFOXIES: 730,00 TL; Arcade Archives THE OUTFOXIES: 649,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10017048","2025-12-17","Action","PEGI_16"
"4325","Arcade Archives 2 TOUCHDOWN FEVER","PPSA34239","PS5","Нет","387,00 TL","Arcade Archives 2 TOUCHDOWN FEVER: 387,00 TL; Arcade Archives TOUCHDOWN FEVER: 300,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10017491","2026-01-12","Sport","PEGI_3"
"4326","Arcade Archives AERO FIGHTERS","CUSA45711","PS4","Нет","300,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10009452","2023-12-13","Shooter","PEGI_7"
"4327","Arcade Archives AQUA JET","CUSA55591","PS4","Нет","649,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10015673","2025-08-13","Sport","PEGI_3"
"4328","Arcade Archives ARABIAN","CUSA24913","PS4","Нет","300,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10001626","2020-10-14","Action","PEGI_3"
"4329","Arcade Archives 2 TOKYO WARS","PPSA31589","PS5","Нет","730,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10015982","2025-11-05","Shooter","PEGI_7"
"4330","Arcade Archives ASSAULT PLUS","CUSA52194","PS4","Нет","300,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10013288","2025-04-02","Shooter","PEGI_7"
"4331","Arcade Archives ATHENA","CUSA14207","PS4","Нет","300,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/233025","2019-12-18","Action","PEGI_7"
