"№","Название","Скидка/Список","ID игры","Платформа","Предзаказ","Обычная цена","Цены изданий","Рус. озвучка","Рус. текст","Подписки","Ссылка","Дата релиза","Жанр","PEGI"
"70","Resident Evil Requiem","22222222","PPSA31246","PS5","Нет","3.449,00 TL","Standard Edition: 3.449,00 TL; Deluxe Edition: 3.849,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/10015533","2026-02-26","Action","PEGI_18"
"136","PRAGMATA","22222222","PPSA02530","PS5","Нет","2.579,00 TL","Standard Edition: 2.579,00 TL; Deluxe Edition: 2.999,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/10002075","2026-04-16","Action","PEGI_16"
"82","Call of Duty: Black Ops","22222222","PPSA34501","PS4, PS5","Нет","1.600,00 TL","","Да","Да","","https://store.playstation.com/en-tr/concept/10017657","2026-07-09","Shooter","PEGI_18"
"69","Call of Duty: Black Ops II","22222222","PPSA34502","PS4, PS5","Нет","1.600,00 TL","","Да","Да","","https://store.playstation.com/en-tr/concept/10017658","2026-07-09","Shooter","PEGI_18"
"9","Forza Horizon 5","22222222","PPSA22327","PS5","Нет","1.541,00 TL","Standard Edition: 1.541,00 TL; Deluxe Edition: 2.055,00 TL; Premium Edition: 2.570,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10010647","2025-04-28","Driving/Racing","PEGI_3"
"141","Resident Evil 4","22222222","PPSA07412","PS4, PS5","Нет","1.399,00 TL","Standard Edition: 1.399,00 TL; Gold Edition: 1.749,00 TL; Remake Trilogy: 2.999,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/10004473","2023-03-23","Horror","PEGI_18"
"250","DEATH STRANDING 2: ON THE BEACH","22222222","PPSA02015","PS5","Нет","3.449,00 TL","Digital Deluxe Edition: 3.849,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/10001538","2025-06-25","Action","PEGI_18"
"35","REANIMAL","22222222","PPSA23372","PS5","Нет","1.749,00 TL","Digital Deluxe Edition: 2.579,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/10010999","2026-02-13","Horror","PEGI_18"
"204","No Man's Sky","22222222","PPSA01412","PS4, PS5","Нет","1.249,00 TL","","Нет","Да","","https://store.playstation.com/en-tr/concept/216600","2020-11-11","Unique","PEGI_12"
"121","Dying Light: The Beast","22222222","PPSA24003","PS5","Нет","2.799,00 TL","Dying Light: The Beast: 2.799,00 TL; Deluxe Edition: 3.249,00 TL; Definitive Edition: 3.849,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10011468","2025-09-18","Action","PEGI_18"
