# List: Лидеры продаж
# Created: 2026-09-19T05:23:49.930Z
# Total: 13
"№","Название","Скидка/Список","ID игры","Платформа","Предзаказ","Обычная цена","Цены изданий","Рус. озвучка","Рус. текст","Подписки","Ссылка","Дата релиза","Жанр","PEGI"
"1","EA SPORTS FC 27","Лидеры продаж","PPSA34015","PS5","Да","3.999,00 TL","Standard Edition: 3.999,00 TL; Ultimate Edition: 5.499,00 TL; Ultimate Plus Edition: 7.999,00 TL","Нет","Нет","EA Access","https://store.playstation.com/en-tr/concept/10017332","2026-09-17","Sport","PEGI_16"
"10","Marvel’s Wolverine","Лидеры продаж","PPSA03671","PS5","Да","3.449,00 TL","Standard Edition: 3.449,00 TL; Digital Deluxe Edition: 3.849,00 TL; Digital Deluxe Upgrade: 400,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10002861","2026-09-14","Action","PEGI_18"
"24","Grand Theft Auto VI","Лидеры продаж","PPSA01547","PS5","Да","3.999,00 TL","Standard Edition: 3.999,00 TL; Ultimate Edition: 4.999,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10000730","2026-11-18","Action","PEGI_PROVISIONAL_18"
"9","Forza Horizon 5","Лидеры продаж","PPSA22327","PS5","Нет","1.541,00 TL","Standard Edition: 1.541,00 TL; Deluxe Edition: 2.055,00 TL; Premium Edition: 2.570,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10010647","2025-04-28","Driving/Racing","PEGI_3"
"193","Metro Exodus","Лидеры продаж","PPSA01749","PS4, PS5","Нет","1.049,00 TL","Standard Edition: 1.049,00 TL; Gold Edition: 1.399,00 TL; Metro Saga Bundle: 2.099,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/231769","2021-06-17","Shooter","PEGI_18"
"141","Resident Evil 4","Лидеры продаж","PPSA07412","PS4, PS5","Нет","1.399,00 TL","Standard Edition: 1.399,00 TL; Gold Edition: 1.749,00 TL; Remake Trilogy: 2.999,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/10004473","2023-03-23","Horror","PEGI_18"
"89","Tomb Raider: Definitive Survivor Trilogy","Лидеры продаж","CUSA27688","PS4","Нет","439,00 TL","","Да","Да","","https://store.playstation.com/en-tr/concept/10002774","2021-03-17","Action","PEGI_18"
"92","FARCRY 6","Лидеры продаж","PPSA01874","PS4, PS5","Нет","2.299,00 TL","FARCRY 6 Deluxe Edition: 779,00 TL; FARCRY 6 Gold Edition: 809,00 TL; FARCRY 6 Game of the Year Edition: 239,75 TL","Да","Да","PS Plus Extra","https://store.playstation.com/en-tr/concept/233961","2021-10-06","Unique","PEGI_18"
"75","Assassin's Creed Valhalla","Лидеры продаж","PPSA01532","PS4, PS5","Нет","470,00 TL","Assassin’s Creed® Valhalla + Watch Dogs®: Legion Bundle: 5.599,00 TL; Assassin’s Creed® Valhalla + Immortals Fenyx Rising™ Bundle: 4.299,00 TL; Assassin's Creed Valhalla - Deluxe Edition: 762,71 TL; Ragnarok Edition: 2.499,00 TL; Assassin's Creed Valhalla - Complete Edition: 975,00 TL","Да","Да","PS Plus Extra","https://store.playstation.com/en-tr/concept/10000237","2020-11-11","Role Playing Games","PEGI_18"
"60","Call of Duty: WWII","Лидеры продаж","CUSA08630","PS4","Нет","254,00 TL","Call of Duty®: WWII - Gold Edition: 254,00 TL; Call of Duty®: WWII - Digital Deluxe Edition: 1.102,15 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/227115","2018-05-07","Shooter","PEGI_18"
"192","LEGO Marvel Super Heroes","Лидеры продаж","CUSA00044","PS4","Нет","1.399,00 TL","LEGO® Marvel™ Super Heroes: 1.399,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/202493","2013-11-28","Action","PEGI_7"
"39","Mortal Kombat 11","Лидеры продаж","PPSA01619","PS4, PS5","Нет","349,00 TL","Standard: 349,00 TL; Mortal Kombat 11 Ultimate: 399,01 TL; Mortal Kombat 11 Ultimate + Injustice 2 Leg. Edition Bundle: 3.499,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/231756","2020-11-17","Unique","PEGI_18"
"305","STAR WARS Battlefront II","Лидеры продаж","CUSA05749","PS4","Нет","136,27 TL","STAR WARS™ Battlefront™ II: Celebration Edition: 2.099,00 TL; STAR WARS™ Battlefront™ II: 136,27 TL","Нет","Да","EA Access","https://store.playstation.com/en-tr/concept/229438","2017-11-16","Adventure","PEGI_16"
