"№","Название","Скидка/Список","ID игры","Платформа","Предзаказ","Обычная цена","Цены изданий","Рус. озвучка","Рус. текст","Подписки","Ссылка","Дата релиза","Жанр","PEGI"
"17","007 First Light","Основной список","PPSA11386","PS5","Нет","2.999,00 TL","007 First Light: 2.999,00 TL; Deluxe Edition: 3.449,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10006560","2026-05-26","Adventure","PEGI_16"
"641","60 Seconds! Reatomized","Основной список","CUSA18932","PS4","Нет","349,00 TL","","Нет","Да","","https://store.playstation.com/en-tr/concept/231873","2020-12-17","Strategy","PEGI_12"
"257","7 Days to Die","Основной список","PPSA16645","PS5","Нет","1.749,00 TL","","Нет","Да","","https://store.playstation.com/en-tr/concept/10008451","2024-07-25","Simulation","PEGI_18"
"3869","9 Monkeys of Shaolin","Основной список","CUSA16644","PS4","Нет","849,00 TL","9 Monkeys of Shaolin: 849,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/232395","2020-10-16","Action","PEGI_12"
"4062","A Hat in Time","Основной список","CUSA10028","PS4","Нет","1.299,00 TL","","Нет","Нет","PS Plus Extra","https://store.playstation.com/en-tr/concept/228903","2017-12-05","Unique","PEGI_7"
"1756","A Plague Tale: Innocence","Основной список","PPSA02387","PS4, PS5","Нет","1.399,00 TL","A Plague Tale: Innocence: 1.399,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/231037","2021-07-05","Adventure","PEGI_18"
"471","A Plague Tale: Requiem","Основной список","PPSA02785","PS5","Нет","2.799,00 TL","A Plague Tale Bundle: 3.149,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10002255","2022-10-17","Adventure","PEGI_18"
"1704","A Quiet Place: The Road Ahead","Основной список","PPSA19007","PS5","Нет","346,17 TL","","Нет","Да","PS Plus Extra","https://store.playstation.com/en-tr/concept/10009366","2024-10-17","Horror","PEGI_16"
"93","A Way Out","Основной список","CUSA08004","PS4","Нет","1.049,00 TL","","Нет","Да","EA Access","https://store.playstation.com/en-tr/concept/227061","2018-03-22","Adventure","PEGI_18"
"218","ACE COMBAT 7: SKIES UNKNOWN","Основной список","CUSA07202","PS4","Нет","2.499,00 TL","Standard Edition: 2.499,00 TL; Maverick Edition: 3.649,00 TL; Maverick Ultimate Edition: 3.899,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/221661","2019-02-18","Action","PEGI_12"
"210","ACE COMBAT 8: WINGS OF THEVE","Основной список","PPSA24913","PS5","Да","3.449,00 TL","Standard Edition: 3.449,00 TL; Deluxe Edition: 4.299,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10011942","2026-10-01","Shooter","PEGI_16"
"3994","Across the Valley","Основной список","PPSA13759","PS5","Нет","849,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10007333","2023-04-05","Family","PEGI_3"
"497","Adorable Adventures","Основной список","PPSA35106","PS5","Нет","636,75 TL","","Нет","Да","","https://store.playstation.com/en-tr/concept/10017971","2026-04-29","Adventure","PEGI_3"
"2008","After the Fall","Основной список","PPSA10602","PS4, PS5","Нет","699,00 TL","Standard Edition: 699,00 TL; Deluxe Edition: 875,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10006271","2023-02-21","Action","PEGI_18"
"2205","After Us","Основной список","PPSA07949","PS5","Нет","259,80 TL","","Нет","Да","","https://store.playstation.com/en-tr/concept/10003563","2023-05-23","Adventure","PEGI_12"
"1290","Agatha Christie - Death on the Nile","Основной список","PPSA27765","PS5","Нет","1.749,00 TL","Agatha Christie's Deadly Voyages - 2 in 1: 2.099,30 TL; Agatha Christie - Death on the Nile: 1.749,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10013650","2025-09-24","Adventure","PEGI_12"
"345","Age of Empires II","Основной список","PPSA18654","PS5","Нет","1.699,00 TL","Standard: 1.699,00 TL; Premium Edition: 1.657,50 TL; Premium Editions Bundle: 4.198,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10009261","2025-05-06","Strategy","PEGI_12"
"202","Age of Empires IV","Основной список","PPSA25366","PS5","Нет","999,00 TL","Standard Edition: 999,00 TL; Deluxe Edition: 1.499,00 TL; Premium Edition: 1.799,00 TL; Premium Editions Bundle: 3.899,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10012160","2025-11-04","Strategy","PEGI_12"
