"№","Название","Скидка/Список","ID игры","Платформа","Предзаказ","Обычная цена","Цены изданий","Рус. озвучка","Рус. текст","Подписки","Ссылка","Дата релиза","Жанр","PEGI"
"210","ACE COMBAT 8: WINGS OF THEVE","Предзаказы","PPSA24913","PS5","Да","3.449,00 TL","Standard Edition: 3.449,00 TL; Deluxe Edition: 4.299,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10011942","2026-10-01","Shooter","PEGI_16"
"11","Call of Duty: Modern Warfare 4","Предзаказы","PPSA07950","PS5","Да","3.199,00 TL","MW4 Standard: 3.199,00 TL; MW4 Vault: 4.399,00 TL; BO7 Vault: 4.399,00 TL; BO7 Cross-Gen: 3.199,00 TL; MWIII Cross-Gen: 2.519,99 TL; MWII Cross-Gen: 2.519,99 TL; BO6 Cross-Gen: 2.799,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10001130","2026-10-22","Action","PEGI_18"
"148","CONTROL Resonant","Предзаказы","PPSA34547","PS5","Да","2.579,00 TL","CONTROL Resonant: 2.579,00 TL; Digital Deluxe Edition: 2.999,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10017682","2026-09-24","Action","PEGI_16"
"209","Dune: Awakening","Предзаказы","PPSA02391","PS5","Да","2.149,00 TL","Standard Edition: 2.149,00 TL; Deluxe Edition: 2.999,00 TL; Ultimate Edition: 3.849,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10001899","2026-09-22","Action","PEGI_16"
"1","EA SPORTS FC 27","Предзаказы","PPSA34015","PS5","Да","3.999,00 TL","Standard Edition: 3.999,00 TL; Ultimate Edition: 5.499,00 TL; Ultimate Plus Edition: 7.999,00 TL","Нет","Нет","EA Access","https://store.playstation.com/en-tr/concept/10017332","2026-09-17","Sport","PEGI_16"
"227","Fable","Предзаказы","PPSA31381","PS5","Да","2.999,00 TL","Fable Standard Edition: 2.999,00 TL; Fable Premium Edition: 4.299,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10015869","2027-02-23","Adventure","PEGI_18"
"486","FINAL FANTASY","Предзаказы","CUSA33818","PS4","Нет","419,00 TL","","Нет","Да","","https://store.playstation.com/en-tr/concept/10002339","2023-04-19","Role Playing Games","PEGI_7"
"24","Grand Theft Auto VI","Предзаказы","PPSA01547","PS5","Да","3.999,00 TL","Standard Edition: 3.999,00 TL; Ultimate Edition: 4.999,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10000730","2026-11-18","Action","PEGI_PROVISIONAL_18"
"336","Minecraft Dungeons II","Предзаказы","PPSA16064","PS5","Да","1.499,00 TL","Minecraft Dungeons II: 1.499,00 TL; Deluxe Edition: 2.199,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10008220","2026-09-29","Adventure","PEGI_7"
"3","Phantom Blade Zero","Предзаказы","PPSA34579","PS5","Да","2.379,00 TL","Standard Edition: 2.379,00 TL; Digital Deluxe Edition: 2.849,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10017620","2026-10-29","Action","PEGI_16"
"340","Rayman Legends Retold","Предзаказы","PPSA34056","PS5","Да","1.749,00 TL","Rayman Legends Retold: 1.749,00 TL; Deluxe Edition: 2.149,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10017364","2026-09-30","Adventure","PEGI_7"
"313","SILENT HILL: Townfall","Предзаказы","PPSA33286","PS5","Да","2.149,00 TL","Standard Edition: 2.149,00 TL; Deluxe Edition: 2.579,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10016947","2026-09-23","Horror","PEGI_16"
"390","STAR WARS: Galactic Racer","Предзаказы","PPSA28416","PS5","Да","1.499,00 TL","Standard Edition: 1.499,00 TL; Deluxe Edition: 2.149,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10014146","2026-10-06","Driving/Racing","PEGI_12"
"216","Tomb Raider: Legacy of Atlantis","Предзаказы","PPSA29000","PS5","Да","2.579,00 TL","Standard Edition: 2.579,00 TL; Deluxe Edition: 2.999,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10014491","2027-02-12","Adventure","PEGI_16"
"439","Until Dawn","Предзаказы","PPSA15421","PS5","Нет","2.499,00 TL","","Да","Да","PS Plus Extra","https://store.playstation.com/en-tr/concept/10007897","2024-10-03","Horror","PEGI_18"
"358","Way of the Hunter 2","Предзаказы","PPSA17911","PS5","Да","1.749,00 TL","Standard: 1.749,00 TL; Deluxe Edition: 2.579,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10008946","2026-09-29","Action","PEGI_16"
