# Sale: HOT DEALS до 24.09
# EndDate: 2026-09-24
# Created: 2026-09-19T07:45:51.543Z
# Total: 941
"№","Название","Скидка/Список","ID игры","Платформа","Предзаказ","Обычная цена","Скидка %","Новая цена","Дата окончания","Цены изданий","Рус. озвучка","Рус. текст","Подписки","Ссылка","Дата релиза","Жанр","PEGI"
"82","Call of Duty: Black Ops","HOT DEALS до 24.09","PPSA34501","PS4, PS5","Нет","1.600,00 TL","50%","800,00 TL","2026-09-24","","Да","Да","","https://store.playstation.com/en-tr/concept/10017657","2026-07-09","Shooter","PEGI_18"
"69","Call of Duty: Black Ops II","HOT DEALS до 24.09","PPSA34502","PS4, PS5","Нет","1.600,00 TL","50%","800,00 TL","2026-09-24","","Да","Да","","https://store.playstation.com/en-tr/concept/10017658","2026-07-09","Shooter","PEGI_18"
"141","Resident Evil 4","HOT DEALS до 24.09","PPSA07412","PS4, PS5","Нет","1.399,00 TL","75%","349,75 TL","2026-09-24","Standard Edition: 1.399,00 TL; Gold Edition: 1.749,00 TL; Remake Trilogy: 2.999,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/10004473","2023-03-23","Horror","PEGI_18"
"28","Cyberpunk 2077","HOT DEALS до 24.09","PPSA04027","PS4, PS5","Нет","2.799,00 TL","60%","1.119,60 TL","2026-09-24","Cyberpunk 2077: Ultimate Edition (PS5): 1.145,00 TL","Да","Да","PS Plus Extra","https://store.playstation.com/en-tr/concept/234567","2022-02-15","Role Playing Games","PEGI_18"
"28","Cyberpunk 2077","HOT DEALS до 24.09","PPSA04027","PS4, PS5","Нет","2.799,00 TL","","Unavailable","2026-09-24","Cyberpunk 2077: Ultimate Edition (PS5): 1.145,00 TL","Да","Да","PS Plus Extra","https://store.playstation.com/en-tr/concept/234567","2022-02-15","Role Playing Games","PEGI_18"
"204","No Man's Sky","HOT DEALS до 24.09","PPSA01412","PS4, PS5","Нет","1.249,00 TL","60%","499,60 TL","2026-09-24","","Нет","Да","","https://store.playstation.com/en-tr/concept/216600","2020-11-11","Unique","PEGI_12"
"132","Sea of Thieves","HOT DEALS до 24.09","PPSA17668","PS5","Нет","999,00 TL","65%","349,65 TL","2026-09-24","Standard Edition: 999,00 TL; 2026 Deluxe Edition: 1.249,00 TL; 2026 Premium Edition: 1.499,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10008884","2024-04-30","Adventure","PEGI_12"
"109","Call of Duty: Black Ops III - Zombies","HOT DEALS до 24.09","CUSA02624","PS4","Нет","2.159,99 TL","75%","539,99 TL","2026-09-24","Call of Duty®: Black Ops III - Zombies Chronicles Edition: 2.159,99 TL; Call of Duty®: Black Ops III - Zombies Chronicles Deluxe: 1.259,99 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/200763","2017-08-28","Shooter","PEGI_18"
"300","RESIDENT EVIL 2","HOT DEALS до 24.09","PPSA04289","PS4, PS5","Нет","1.399,00 TL","80%","279,80 TL","2026-09-24","Standard Edition: 1.399,00 TL; Deluxe Edition: 1.749,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/229500","2022-06-13","Horror","PEGI_18"
"300","RESIDENT EVIL 2","HOT DEALS до 24.09","PPSA04289","PS4, PS5","Нет","1.399,00 TL","50%","214,50 TL","2026-09-24","Standard Edition: 1.399,00 TL; Deluxe Edition: 1.749,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/229500","2022-06-13","Horror","PEGI_18"
