"Страница","Тип","Источник","Режим","Скрыто","Родитель"
"Главная","list","Новинки","carousel","Нет",""
"Главная","sale","Tokyo_Game_Show","carousel","Нет",""
"Главная","sale","HOT_DEALS_до_24.09","carousel","Нет",""
"Все игры","list","Новинки","grid","Нет",""
"Все игры","list","Новинки","grid","Нет",""
"Игры со скидкой","sale","Tokyo_Game_Show","grid","Нет",""
"Игры со скидкой","sale","HOT_DEALS_до_24.09","grid","Нет",""
"Подборки","list","Лидеры_продаж","grid","Нет",""
"Подборки","list","Новинки","grid","Нет",""
"Подборки","list","Предзаказы","grid","Нет",""
"Профиль","","","","Нет",""
"Избранное","","","","Да",""
"Мои покупки","","","","Да",""
"Про A11.STORE","","","","Да",""
"Полезные статьи","post","Прием прием","grid","Нет",""
"Поддержка","post","Прием прием","grid","Нет",""
