"№","Название","Скидка/Список","ID игры","Платформа","Предзаказ","Обычная цена","Скидка %","Новая цена","Дата окончания","Цены изданий","Рус. озвучка","Рус. текст","Подписки","Ссылка","Дата релиза","Жанр","PEGI"
"7951","LET IT DIE: INFERNO","TOKYO GAME SHOW","PPSA19053","PS5","Нет","1.079,00 TL","50%","539,50 TL","2026-09-24","Standard Edition: 1.079,00 TL; Deluxe Edition: 1.949,00 TL; Ultimate Edition: 2.579,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10009386","2025-12-04","Action","PEGI_16"
"2024","ENDER LILIES: Quietus of the Knights","TOKYO GAME SHOW","CUSA26116","PS4","Нет","1.049,00 TL","60%","419,60 TL","2026-09-24","","Нет","Да","","https://store.playstation.com/en-tr/concept/10001655","2021-08-10","Action","PEGI_12"
"229","Taxi Life: A City Driving Simulator","TOKYO GAME SHOW","PPSA14175","PS5","Нет","1.399,00 TL","60%","559,60 TL","2026-09-24","Standard Edition: 1.399,00 TL; Supporter Edition: 1.599,00 TL; Complete Edition: 2.579,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10007412","2024-03-07","Simulation","PEGI_3"
"166","I Am Cat","TOKYO GAME SHOW","PPSA25041","PS5","Нет","649,00 TL","15%","551,65 TL","2026-09-24","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10012021","2026-05-06","Unique","PEGI_12"
"186","Hellblade II: Senua’s Saga","TOKYO GAME SHOW","PPSA25991","PS5","Нет","1.749,00 TL","50%","874,50 TL","2026-09-24","Hellblade II: Senua’s Saga: 1.749,00 TL; Deluxe Edition: 1.999,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10012536","2025-08-12","Action","PEGI_18"
"1159","FATAL FRAME II: Crimson Butterfly REMAKE","TOKYO GAME SHOW","PPSA32802","PS5","Нет","2.149,00 TL","35%","1.396,85 TL","2026-09-24","Standard Edition: 2.149,00 TL; Digital Deluxe Edition: 2.799,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10016680","2026-03-11","Horror","PEGI_16"
"261","NARUTO SHIPPUDEN: Ultimate Ninja STORM 4","TOKYO GAME SHOW","CUSA02854","PS4","Нет","699,00 TL","25%","524,25 TL","2026-09-24","NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto: 1.749,00 TL; NARUTO SHIPPUDEN: Ultimate Ninja STORM 4: 699,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/212870","2016-02-04","Fighting","PEGI_12"
"427","The Outer Worlds 2","TOKYO GAME SHOW","PPSA24588","PS5","Нет","2.999,00 TL","40%","1.799,40 TL","2026-09-24","The Outer Worlds 2: 2.999,00 TL; Premium: 3.999,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10011796","2025-10-29","Role Playing Games","PEGI_18"
"485","CarX Drift Racing Online","TOKYO GAME SHOW","CUSA15633","PS4","Нет","1.031,00 TL","80%","206,20 TL","2026-09-24","","Нет","Да","","https://store.playstation.com/en-tr/concept/10000161","2019-12-11","Driving/Racing","PEGI_3"
"595","Aces of Thunder","TOKYO GAME SHOW","PPSA13699","PS5","Нет","1.299,00 TL","40%","779,40 TL","2026-09-24","Aces of Thunder: 1.299,00 TL; Deluxe Edition: 2.149,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10007306","2026-02-03","Simulation","PEGI_12"
"398","NieR: Automata Game of the","TOKYO GAME SHOW","CUSA04480","PS4","Нет","1.399,00 TL","60%","559,60 TL","2026-09-24","NieR: Automata™ Game of the YoRHa Edition: 1.399,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/217551","2019-02-25","Role Playing Games","PEGI_18"
"407","Warhammer 40,000: Rogue Trader","TOKYO GAME SHOW","PPSA15678","PS5","Нет","1.749,00 TL","65%","612,15 TL","2026-09-24","Warhammer 40,000: Rogue Trader: 1.749,00 TL; Voidfarer Edition: 3.499,00 TL; Deluxe Edition: 2.275,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10008102","2023-12-07","Role Playing Games","PEGI_18"
"1167","DYNASTY WARRIORS: ORIGINS","TOKYO GAME SHOW","PPSA15972","PS5","Нет","2.799,00 TL","30%","1.959,30 TL","2026-09-24","Standard Version: 2.799,00 TL; Digital Deluxe Edition: 3.399,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10008191","2025-01-16","Action","PEGI_16"
"1756","A Plague Tale: Innocence","TOKYO GAME SHOW","PPSA02387","PS4, PS5","Нет","1.399,00 TL","80%","279,80 TL","2026-09-24","A Plague Tale: Innocence: 1.399,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/231037","2021-07-05","Adventure","PEGI_18"
"471","A Plague Tale: Requiem","TOKYO GAME SHOW","PPSA02785","PS5","Нет","2.799,00 TL","70%","839,70 TL","2026-09-24","A Plague Tale Bundle: 3.149,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10002255","2022-10-17","Adventure","PEGI_18"
"670","KINGDOM HEARTS III","TOKYO GAME SHOW","CUSA12025","PS4","Нет","2.499,00 TL","60%","999,60 TL","2026-09-24","KINGDOM HEARTS All-In-One Package: 3.899,00 TL; KINGDOM HEARTS III: 2.499,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/208810","2019-01-28","Role Playing Games","PEGI_12"
"1463","DARK SOULS","TOKYO GAME SHOW","CUSA08495","PS4","Нет","2.579,00 TL","50%","1.289,50 TL","2026-09-24","","Нет","Да","","https://store.playstation.com/en-tr/concept/229482","2018-05-24","Role Playing Games","PEGI_16"
"1158","Bendy and the Ink Machine","TOKYO GAME SHOW","CUSA13635","PS4","Нет","699,00 TL","70%","209,70 TL","2026-09-24","Bendy: Studio Collection: 1.225,00 TL; Bendy and the Ink Machine: 699,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/232792","2018-11-19","Action","PEGI_12"
"1211","Labyrinthine","TOKYO GAME SHOW","PPSA28709","PS5","Нет","649,00 TL","20%","519,20 TL","2026-09-24","Standard Edition: 649,00 TL; Supporter Edition: 580,50 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10014325","2025-09-18","Horror","PEGI_18"
"1387","Sunset Motel","TOKYO GAME SHOW","PPSA33105","PS5","Нет","816,00 TL","20%","652,80 TL","2026-09-24","Sunset Motel: 816,00 TL; Sunset Motel: 816,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/10016807","2026-05-07","Simulator","PEGI_18"
"1387","Sunset Motel","TOKYO GAME SHOW","PPSA33105","PS5","Нет","816,00 TL","20%","652,80 TL","2026-09-24","Sunset Motel: 816,00 TL; Sunset Motel: 816,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/10016807","2026-05-07","Simulator","PEGI_18"
"1093","Drug Dealer Simulator","TOKYO GAME SHOW","PPSA29618","PS4, PS5","Нет","1.079,00 TL","35%","701,35 TL","2026-09-24","Drug Dealer Simulator: 1.079,00 TL; Contraband Police x Drug Dealer Simulator: 2.149,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10014685","2025-06-20","Simulation","PEGI_18"
"2801","ULTIMATE MARVEL VS. CAPCOM 3","TOKYO GAME SHOW","CUSA04543","PS4","Нет","875,00 TL","80%","175,00 TL","2026-09-24","","Нет","Нет","","https://store.playstation.com/en-tr/concept/227750","2016-12-03","Fighting","PEGI_12"
"502","PAC-MAN WORLD 2 Re-PAC","TOKYO GAME SHOW","PPSA18188","PS4, PS5","Нет","1.749,00 TL","40%","1.049,40 TL","2026-09-24","Standard Edition: 1.749,00 TL; Deluxe Edition: 2.149,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10009073","2025-09-25","Arcade","PEGI_7"
