"№","Название","ID","Период","Обычная цена","Цена со скидкой","Скидка %","Описание"
"1","PS Plus Essential 1 месяц","sub001","1 Month","400","","","Essential — самый доступный тариф. Подойдёт любителям сетевых игр, новым пользователям PlayStation и тем, кто играет нечасто.В него входят:Возможность играть по сети. Без подписки онлайн-мультиплеер доступен только в бесплатных играх.Дополнительные скидки и распродажи.Ежемесячная раздача 3 игр (иногда больше), которые выбирает Sony. В них можно играть, пока активна подписка.Облачные сохранения. Это значит, что вы сможете продолжить прохождение на другой консоли PlayStation."
"2","PS Plus Essential 3 месяцев","sub002","3 Month","600","","","Essential — самый доступный тариф. Подойдёт любителям сетевых игр, новым пользователям PlayStation и тем, кто играет нечасто.В него входят:Возможность играть по сети. Без подписки онлайн-мультиплеер доступен только в бесплатных играх.Дополнительные скидки и распродажи.Ежемесячная раздача 3 игр (иногда больше), которые выбирает Sony. В них можно играть, пока активна подписка.Облачные сохранения. Это значит, что вы сможете продолжить прохождение на другой консоли PlayStation."
"3","PS Plus Essential 12 месяцев","sub003","12 Month","710","","","Essential — самый доступный тариф. Подойдёт любителям сетевых игр, новым пользователям PlayStation и тем, кто играет нечасто.В него входят:Возможность играть по сети. Без подписки онлайн-мультиплеер доступен только в бесплатных играх.Дополнительные скидки и распродажи.Ежемесячная раздача 3 игр (иногда больше), которые выбирает Sony. В них можно играть, пока активна подписка.Облачные сохранения. Это значит, что вы сможете продолжить прохождение на другой консоли PlayStation."
"4","PS Plus Extra 1 месяц","sub004","1 Month","1020","","","Extra — самый популярный тариф. Подойдёт, если вы хотите получить сотни игр для PS4 и PS5 максимально выгодно.В него входят:Возможность играть по сети. Без подписки онлайн-мультиплеер доступен только в бесплатных играх.Дополнительные скидки и распродажи.Ежемесячная раздача 3 игр (иногда больше), которые выбирает Sony. В них можно играть, пока активна подписка.Облачные сохранения. Это значит, что вы сможете продолжить прохождение на другой консоли PlayStation.Каталог из 400+ игр, включая Cyberpunk 2077, Hogwarts Legacy, Mortal Kombat, God of War, Assassin's Creed и другие хиты."
"5","PS Plus Extra 3 месяцев","sub005","3 Month","1660","","","Extra — самый популярный тариф. Подойдёт, если вы хотите получить сотни игр для PS4 и PS5 максимально выгодно.В него входят:Возможность играть по сети. Без подписки онлайн-мультиплеер доступен только в бесплатных играх.Дополнительные скидки и распродажи.Ежемесячная раздача 3 игр (иногда больше), которые выбирает Sony. В них можно играть, пока активна подписка.Облачные сохранения. Это значит, что вы сможете продолжить прохождение на другой консоли PlayStation.Каталог из 400+ игр, включая Cyberpunk 2077, Hogwarts Legacy, Mortal Kombat, God of War, Assassin's Creed и другие хиты."
"6","PS Plus Extra 12 месяцев","sub006","12 Month","1960","","","Extra — самый популярный тариф. Подойдёт, если вы хотите получить сотни игр для PS4 и PS5 максимально выгодно.В него входят:Возможность играть по сети. Без подписки онлайн-мультиплеер доступен только в бесплатных играх.Дополнительные скидки и распродажи.Ежемесячная раздача 3 игр (иногда больше), которые выбирает Sony. В них можно играть, пока активна подписка.Облачные сохранения. Это значит, что вы сможете продолжить прохождение на другой консоли PlayStation.Каталог из 400+ игр, включая Cyberpunk 2077, Hogwarts Legacy, Mortal Kombat, God of War, Assassin's Creed и другие хиты."
"7","PS Plus Deluxe 1 месяц","sub007","1 Month","2890","","","Deluxe — самый полный тариф. Подойдёт хардкорным геймерам, которым нужно всё и сразу.В него входят:Возможность играть по сети. Без подписки онлайн-мультиплеер доступен только в бесплатных играх.Дополнительные скидки и распродажи.Ежемесячная раздача 3 игр (иногда больше), которые выбирает Sony. В них можно играть, пока активна подписка.Облачные сохранения. Это значит, что вы сможете продолжить прохождение на другой консоли PlayStation.Каталог из 400+ игр, включая Cyberpunk 2077, Hogwarts Legacy, Mortal Kombat, God of War, Assassin's Creed и другие хиты.Около 150 классических игр, в том числе с PS1 и PS2. Среди них — MediEvil, Twisted Metal, LocoRoco, Dino Crisis и Ape Escape.Демоверсии новинок, в которые можно играть ограниченное время."
"8","PS Plus Deluxe 3 месяцев","sub008","3 Month","4810","","","Deluxe — самый полный тариф. Подойдёт хардкорным геймерам, которым нужно всё и сразу.В него входят:Возможность играть по сети. Без подписки онлайн-мультиплеер доступен только в бесплатных играх.Дополнительные скидки и распродажи.Ежемесячная раздача 3 игр (иногда больше), которые выбирает Sony. В них можно играть, пока активна подписка.Облачные сохранения. Это значит, что вы сможете продолжить прохождение на другой консоли PlayStation.Каталог из 400+ игр, включая Cyberpunk 2077, Hogwarts Legacy, Mortal Kombat, God of War, Assassin's Creed и другие хиты.Около 150 классических игр, в том числе с PS1 и PS2. Среди них — MediEvil, Twisted Metal, LocoRoco, Dino Crisis и Ape Escape.Демоверсии новинок, в которые можно играть ограниченное время."
"9","PS Plus Deluxe 12 месяцев","sub009","12 Month","5560","","","Deluxe — самый полный тариф. Подойдёт хардкорным геймерам, которым нужно всё и сразу.В него входят:Возможность играть по сети. Без подписки онлайн-мультиплеер доступен только в бесплатных играх.Дополнительные скидки и распродажи.Ежемесячная раздача 3 игр (иногда больше), которые выбирает Sony. В них можно играть, пока активна подписка.Облачные сохранения. Это значит, что вы сможете продолжить прохождение на другой консоли PlayStation.Каталог из 400+ игр, включая Cyberpunk 2077, Hogwarts Legacy, Mortal Kombat, God of War, Assassin's Creed и другие хиты.Около 150 классических игр, в том числе с PS1 и PS2. Среди них — MediEvil, Twisted Metal, LocoRoco, Dino Crisis и Ape Escape.Демоверсии новинок, в которые можно играть ограниченное время."
"10","EA Play 1 месяц","sub010","1 Month","220","","","EA Play — это подписка от Electronic Arts, которая даёт доступ к большой коллекции игр этого издателя, пробным версиям новинок, ежемесячным наградам и скидкам.Что входит в подпискуThe Play List. Неограниченный доступ к каталогу игр EA, включая популярные серии вроде Battlefield, EA SPORTS FC, F1, Madden NFL, The Sims, STAR WARS и другие.Пробные версии. Возможность играть в избранные новинки до их официального выхода в течение 10 часов.Ежемесячные награды. Внутриигровые бонусы, такие как косметические предметы или наборы очков, для популярных игр EA.Скидка 10%. На цифровые покупки EA: полные версии игр, дополнения и наборы очков."
"11","EA Play 12 месяцев","sub011","12 Month","1500","","","EA Play — это подписка от Electronic Arts, которая даёт доступ к большой коллекции игр этого издателя, пробным версиям новинок, ежемесячным наградам и скидкам.Что входит в подпискуThe Play List. Неограниченный доступ к каталогу игр EA, включая популярные серии вроде Battlefield, EA SPORTS FC, F1, Madden NFL, The Sims, STAR WARS и другие.Пробные версии. Возможность играть в избранные новинки до их официального выхода в течение 10 часов.Ежемесячные награды. Внутриигровые бонусы, такие как косметические предметы или наборы очков, для популярных игр EA.Скидка 10%. На цифровые покупки EA: полные версии игр, дополнения и наборы очков."
"12","GTA+ 1 месяц","sub012","1 Month","200","","","GTA+ — это подписка от Rockstar Games, которая даёт бонусы в Grand Theft Auto Online и доступ к каталогу классических игр Rockstar.Что входит в подпискуЕжемесячный бонус. GTA$500 000 каждый месяц.GTA+ Games Library. Доступ к классическим играм Rockstar.The Vinewood Club. Эксклюзивные привилегии: гараж на 100 машин, скидки, бесплатный транспорт.Награды и скидки. Внутриигровые бонусы и скидка 15% на Shark Cards."
"13","Ubisoft+ Classics 1 месяц","sub013","1 Month","139","","","Ubisoft+ Classics — это подписка от Ubisoft, которая даёт доступ к каталогу классических и отмеченных наградами игр издателя.Что входит в подпискуКаталог 50+ игр. Приключенческие боевики, шутеры, стратегии, семейные игры и гонки.Популярные франшизы. Assassin's Creed, Far Cry, Tom Clancy's, Watch Dogs.Классика. For Honor, Child of Light, Valiant Hearts, Rayman Legends, South Park: The Stick of Truth.Хиты и новинки. Prince of Persia: The Lost Crown, Star Wars Outlaws, Immortals Fenyx Rising, Riders Republic, The Crew 2."
