ID,Date,URL,Russian Title,Original Title,Year,Rating1,Rating2,Is Series
"tt12216986","2026-08-12","https://www.kinopoisk.ru/film/1191022/","Подольские курсанты (2020)","","2020","6","6","0"
"tt30425537","2026-08-11","https://www.kinopoisk.ru/film/5501397/","Первый на Олимпе (2025)","","2025","5","5","0"
"tt34675596","2026-08-10","https://www.kinopoisk.ru/film/6576642/","Мыс страха (сериал, 2026 – ...)","Cape Fear","2026","6","6","1"
"tt30460310","2026-08-09","https://www.kinopoisk.ru/film/5698586/","Паук-Нуар (мини-сериал, 2026)","Spider-Noir","2026","8","8","1"
"tt13623126","2026-08-08","https://www.kinopoisk.ru/film/4295935/","Железное Сердце (мини-сериал, 2025)","Ironheart","2025","2","2","1"
"tt21066182","2026-08-08","https://www.kinopoisk.ru/film/5003039/","Чудо-человек (мини-сериал, 2026)","Wonder Man","2026","8","8","1"
"tt13968252","2026-08-07","https://www.kinopoisk.ru/film/4358390/","Очи Ваканды (мини-сериал, 2025)","Eyes of Wakanda","2025","7","7","1"
"tt9803682","2026-08-07","https://www.kinopoisk.ru/film/1246399/","Застрявший в ветчине (2019)","Caught in a Ham","2019","6","6","0"
"tt27369002","2026-08-07","https://www.kinopoisk.ru/film/5362036/","Паук внутри: История Паутины вселенных (2023)","The Spider Within: A Spider‑Verse Story","2023","7","7","0"
"tt36042156","2026-08-07","https://www.kinopoisk.ru/film/7378359/","Каратель: Последнее убийство (2026)","The Punisher: One Last Kill","2026","7","7","0"
"","2026-08-07","https://www.kinopoisk.ru/film/6412723/","Железный человек и его невероятные друзья (сериал, 2025 – ...)","Iron Man and His Awesome Friends","2025","6","","1"
"","2026-08-07","https://www.kinopoisk.ru/film/5060265/","Сорвиголова: Рожденный заново (сериал, 2025 – ...)","Daredevil: Born Again","2025","7","","1"
"tt0396171","2026-07-31","https://www.kinopoisk.ru/film/78378/","Парфюмер: История одного убийцы (2006)","Perfume: The Story of a Murderer","2006","7","7","0"
"tt0120657","2026-07-31","https://www.kinopoisk.ru/film/10273/","13-й воин (1999)","The 13th Warrior","1999","7","7","0"
"tt0808339","2026-07-31","https://www.kinopoisk.ru/film/274730/","Ларго Винч: Начало (2008)","Largo Winch","2008","6","6","0"
"tt0442933","2026-07-31","https://www.kinopoisk.ru/film/102232/","Беовульф (2007)","Beowulf","2007","6","6","0"
"tt0343818","2026-07-31","https://www.kinopoisk.ru/film/4886/","Я, робот (2004)","I, Robot","2004","7","7","0"
"tt0120915","2026-07-31","https://www.kinopoisk.ru/film/6695/","Звёздные войны: Эпизод 1 – Скрытая угроза (1999)","Star Wars: Episode I – The Phantom Menace","1999","7","7","0"
"tt0440963","2026-07-31","https://www.kinopoisk.ru/film/87672/","Ультиматум Борна (2007)","The Bourne Ultimatum","2007","8","8","0"
"tt1038988","2026-07-31","https://www.kinopoisk.ru/film/325598/","Репортаж (2007)","[Rec]","2007","6","6","0"
"tt1935859","2026-07-31","https://www.kinopoisk.ru/film/648440/","Дом странных детей Мисс Перегрин (2016)","Miss Peregrine's Home for Peculiar Children","2016","6","6","0"
"tt27930497","2026-07-31","https://www.kinopoisk.ru/film/5426267/","Королёк моей любви (2026)","","2026","6","6","0"
"tt6481562","2026-07-30","https://www.kinopoisk.ru/film/940680/","Ольга (сериал, 2016 – 2023)","","2016","6","6","1"
"tt0409459","2026-07-30","https://www.kinopoisk.ru/film/252641/","Хранители (2009)","Watchmen","2009","7","7","0"
"tt0485947","2026-07-30","https://www.kinopoisk.ru/film/232785/","Господин Никто (2009)","Mr. Nobody","2009","6","6","0"
"tt1041829","2026-07-30","https://www.kinopoisk.ru/film/321842/","Предложение (2009)","The Proposal","2009","7","7","0"
"tt0381849","2026-07-30","https://www.kinopoisk.ru/film/78240/","Поезд на Юму (2007)","3:10 to Yuma","2007","7","7","0"
"","2026-07-30","https://www.kinopoisk.ru/film/1255117/","Эпидемия. Вонгозеро (2019)","","2019","6","","0"
"tt15939084","2026-07-30","https://www.kinopoisk.ru/film/4647040/","Король и Шут (сериал, 2023)","","2023","6","6","1"
"tt0298810","2026-07-30","https://www.kinopoisk.ru/film/295476/","Концерт для Нью-Йорка (2001)","The Concert for New York City","2001","7","7","0"
"tt3774988","2026-07-30","https://www.kinopoisk.ru/film/260185/","Кадетство (сериал, 2006 – 2007)","","2006","6","6","1"
"tt33451063","2026-07-30","https://www.kinopoisk.ru/film/6299424/","Майор Гром: Игра против правил (сериал, 2025)","","2025","7","7","1"
"","2026-07-30","https://www.kinopoisk.ru/film/1347311/","Мы из будущего (мини-сериал, 2008)","","2008","8","","1"
"tt10090796","2026-07-30","https://www.kinopoisk.ru/film/1260303/","Игра престолов. Последний дозор (2019)","Game of Thrones: The Last Watch","2019","7","7","0"
"tt11214558","2026-07-30","https://www.kinopoisk.ru/film/5455251/","Крушитель (2025)","The Smashing Machine","2025","7","7","0"
"","2026-07-30","https://www.kinopoisk.ru/film/11385623/","Сергей Орлов. Переходный возраст (2026)","","2026","7","","0"
"","2026-07-30","https://www.kinopoisk.ru/film/5444659/","Сергей Орлов: Человек с головой собаки (2023)","","2023","7","","0"
"","2026-07-30","https://www.kinopoisk.ru/film/4514060/","Сергей Орлов: Артист (2021)","","2021","7","","0"
"tt1242457","2026-07-30","https://www.kinopoisk.ru/film/161104/","Тарас Бульба (2009)","","2009","6","6","0"
"tt0200267","2026-07-30","https://www.kinopoisk.ru/film/41442/","Ворошиловский стрелок (1999)","","1999","7","7","0"
"tt5074352","2026-07-29","https://www.kinopoisk.ru/film/970882/","Дангал (2016)","Dangal","2016","6","6","0"
"tt0218967","2026-07-27","https://www.kinopoisk.ru/film/664/","Семьянин (2000)","The Family Man","2000","7","7","0"
"tt0372824","2026-07-26","https://www.kinopoisk.ru/film/51481/","Хористы (2004)","Les Choristes","2004","6","6","0"
"tt1189340","2026-07-26","https://www.kinopoisk.ru/film/461939/","Линкольн для адвоката (2011)","The Lincoln Lawyer","2011","7","7","0"
"tt31514146","2026-07-26","https://www.kinopoisk.ru/film/8472578/","Я ругаюсь (2025)","I Swear","2025","9","9","0"
"tt32767294","2026-07-26","https://www.kinopoisk.ru/film/7919289/","Получеловек (мини-сериал, 2026 – ...)","Half Man","2026","8","8","1"
"tt15047880","2026-07-26","https://www.kinopoisk.ru/film/4510025/","День разоблачения (2026)","Disclosure Day","2026","6","6","0"
"tt38671655","2026-07-25","https://www.kinopoisk.ru/film/7781330/","Здесь был Юра (2025)","","2025","8","8","0"
"tt0238883","2026-07-22","https://www.kinopoisk.ru/film/41520/","Брат 2 (2000)","","2000","8","8","0"
"tt0118767","2026-07-22","https://www.kinopoisk.ru/film/41519/","Брат (1997)","","1997","7","7","0"
"tt0068161","2026-07-22","https://www.kinopoisk.ru/film/43395/","...А зори здесь тихие (1972)","","1972","8","8","0"
"","2026-07-22","https://www.kinopoisk.ru/film/7421341/","Коммерсант (2025)","","2025","8","","0"
"tt28751684","2026-07-21","https://www.kinopoisk.ru/film/5249042/","Папины дочки. Новые (сериал, 2023 – ...)","","2023","7","7","1"
"tt15474794","2026-07-21","https://www.kinopoisk.ru/film/4531254/","Два холма (сериал, 2022 – ...)","","2022","6","6","1"
"tt0070439","2026-07-21","https://www.kinopoisk.ru/film/46421/","Невероятные приключения итальянцев в России (1973)","","1973","7","7","0"
"tt0062759","2026-07-21","https://www.kinopoisk.ru/film/46225/","Бриллиантовая рука (1968)","","1968","7","7","0"
"tt0096126","2026-07-21","https://www.kinopoisk.ru/film/77335/","Собачье сердце (1988)","","1988","7","7","0"
"tt0091251","2026-07-21","https://www.kinopoisk.ru/film/42571/","Иди и смотри (1985)","","1985","6","6","0"
"tt0070233","2026-07-20","https://www.kinopoisk.ru/film/42664/","Иван Васильевич меняет профессию (1973)","","1973","6","6","0"
"tt0060584","2026-07-19","https://www.kinopoisk.ru/film/44745/","Кавказская пленница, или Новые приключения Шурика (1966)","","1966","7","7","0"
"tt0059550","2026-07-19","https://www.kinopoisk.ru/film/42782/","Операция «Ы» и другие приключения Шурика (1965)","","1965","6","6","0"
"tt0091341","2026-07-19","https://www.kinopoisk.ru/film/44811/","Кин-дза-дза! (1986)","","1986","4","4","0"
"tt0065670","2026-07-19","https://www.kinopoisk.ru/film/46789/","12 стульев (1971)","","1971","5","5","0"
"tt0066565","2026-07-18","https://www.kinopoisk.ru/film/46066/","Белое солнце пустыни (1969)","","1969","7","7","0"
"tt1527793","2026-07-16","https://www.kinopoisk.ru/film/484791/","Метод исключения (2025)","Eojjeolsugaeopda","2025","6","6","0"
"tt12042730","2026-07-14","https://www.kinopoisk.ru/film/1382256/","Проект Конец света (2026)","Project Hail Mary","2026","7","7","0"
"tt0134614","2026-07-14","https://www.kinopoisk.ru/film/44168/","Девчата (1961)","","1961","4","4","0"
"tt0072613","2026-07-14","https://www.kinopoisk.ru/film/43423/","Афоня (1975)","","1975","7","7","0"
"tt32565993","2026-07-14","https://www.kinopoisk.ru/film/6447742/","Следствие ведут овечки (2026)","The Sheep Detectives","2026","7","7","0"
"tt0076391","2026-07-14","https://www.kinopoisk.ru/film/46638/","Мимино (1977)","","1977","5","5","0"
"tt31176520","2026-07-14","https://www.kinopoisk.ru/film/5461966/","Эддингтон (2025)","Eddington","2025","6","6","0"
"tt22046822","2026-07-14","https://www.kinopoisk.ru/film/5091721/","Уволить Жору (2025)","","2025","3","3","0"
"tt4492666","2026-07-13","https://www.kinopoisk.ru/film/567118/","Деревья на асфальте (1984)","","1984","5","5","0"
"tt35672862","2026-07-12","https://www.kinopoisk.ru/film/10359971/","Хокум (2026)","Hokum","2026","7","7","0"
"tt16027014","2026-07-03","https://www.kinopoisk.ru/film/4711939/","Зомби Marvel (мини-сериал, 2025)","Marvel Zombies","2025","7","7","1"
"tt12300742","2026-07-01","https://www.kinopoisk.ru/film/1378893/","Бугония (2025)","Bugonia","2025","8","8","0"
"tt16026746","2026-06-30","https://www.kinopoisk.ru/film/4711940/","Люди Икс ’97 (сериал, 2024 – ...)","X‑Men '97","2024","9","9","1"
"tt32916440","2026-06-29","https://www.kinopoisk.ru/film/6290547/","Марти Великолепный (2025)","Marty Supreme","2025","8","8","0"
"tt26657236","2026-06-25","https://www.kinopoisk.ru/film/5452841/","Закулисье реальности (2026)","Backrooms","2026","9","9","0"
"tt7984734","2026-06-24","https://www.kinopoisk.ru/film/1114927/","Маяк (2019)","The Lighthouse","2019","6","6","0"
"tt32612507","2026-06-23","https://www.kinopoisk.ru/film/6785084/","Мумия (2026)","The Mummy","2026","6","6","0"
"","2026-06-22","https://www.kinopoisk.ru/film/6555657/","Бухта вдов (сериал, 2026 – ...)","Widow's Bay","2026","8","","1"
"tt0103584","2026-06-05","https://www.kinopoisk.ru/film/84960/","Люди Икс (сериал, 1992 – 1997)","X‑Men","1992","7","7","1"
